gameCreation,win,kill,death,assist
1698812753655,False,8,10,14
1698811874481,False,2,6,4
1698810229403,True,3,3,9
1698772387867,True,5,12,3
1698714573313,False,10,16,25
1698701882228,False,11,16,34
1698680051855,True,4,9,9
1698677422991,True,10,6,9
1698536491175,False,8,18,23
1698514064766,False,5,15,12
1698442649776,False,2,8,1
1698428400962,True,3,1,1
1698360153486,True,9,9,10
1698351576324,True,4,1,10
1698342614629,True,11,12,17
1698266217807,True,15,23,28
1698193625061,True,7,7,7
1698095372542,True,10,13,17
1698016343934,False,16,19,30
1698011879967,True,6,10,24
1697920103786,True,1,8,5
1697918222535,False,5,6,4
1697854436689,False,11,20,28
1697852109886,True,7,11,22
1697851230329,False,3,16,5
1697850188175,False,3,12,16
1697848783050,True,26,17,15
1697832753457,False,0,0,0
1697829969717,False,4,11,4
1697827469341,False,1,10,6
1697821636404,False,3,7,2
1697817803029,True,17,15,18
1697816374022,False,0,4,2
1697779092686,True,10,12,25
1697777541858,False,15,14,19
1697776135124,False,10,16,27
1697774522193,True,5,21,39
1697773241958,False,6,16,16
1697771023045,False,10,15,11
1697743360743,True,7,4,14
1697680377887,True,11,11,34
1697600928087,True,1,12,14
1697587917972,True,4,6,11
1697586558040,False,1,4,0
1697585363267,True,6,8,17
1697514307033,False,14,11,19
1697513402678,True,8,6,19
1697512463107,False,11,8,14
1697511031162,False,2,5,5
1697508919478,True,7,6,2
1697507369025,False,5,9,0
1697489172595,False,15,16,18
1697319840629,False,3,17,21
1697314797699,True,20,21,25
1697313253569,True,19,15,13
1697236698744,False,10,14,16
1697222336315,True,19,13,12
1697220374535,False,6,7,6
1697216279215,True,17,7,13
1697214943646,False,3,13,20
1697142544123,True,2,4,5
1697139154590,True,5,3,6
1697137258965,True,20,10,26
1697136190617,True,5,7,21
1697071034616,True,10,14,12
1697068329732,True,13,3,4
1697053700070,False,10,11,21
1697051218483,True,15,10,29
1697049651391,True,27,14,13
1697047620587,True,3,16,48
1696998671391,True,6,15,24
1696997317605,False,15,15,13
1696992869438,True,7,14,11
1696969999034,False,9,7,5
1696898727757,True,10,10,36
1696885993217,False,12,13,10
1696879716595,False,14,15,17
1681339425473,True,5,2,4
1681337808179,False,1,4,0
1681336064056,False,6,8,5
1681332734303,True,6,2,1
1681329095264,True,19,13,10
1681327628821,False,1,3,0
1681325409623,True,10,5,3
1681164027120,True,4,1,2
1681163317778,True,0,0,0
1680911965546,False,15,11,2
1680910306771,True,1,9,6
1680833422048,False,5,6,1
1680571819887,True,13,3,3
1680475143167,False,2,6,1
1680473189988,False,4,7,4
1680471054705,False,5,6,2
1680468166046,True,9,6,5
1680370512271,False,4,17,19
1680369384807,False,5,13,16
1680291317196,False,7,15,5
1680226312034,True,24,12,11
1680219231961,True,5,9,13
1680205645705,False,9,13,8
1680203773864,False,1,12,4
1680202099631,False,0,12,5
1680132036765,False,2,19,13
1680130123701,True,2,5,10
1680127628704,True,4,14,8
1680120950231,True,3,4,4
1680119300564,False,2,9,4
1680109048065,False,3,7,7
1680105693209,True,4,5,3
1680058825137,True,0,8,17
1680056729924,False,1,5,0
1680054051963,False,2,14,4
1680050789735,False,6,13,10
1680048263172,True,6,9,10
1679975994417,True,7,8,13
1679973109222,False,2,15,5
1679971476994,False,1,9,1
1679969385998,False,2,7,0
1679966966742,True,4,3,9
1679959125565,False,7,22,29
1679957586884,False,4,11,32
1679956579503,False,4,14,11
1679955156109,False,7,18,19
1679949201728,False,1,16,1
1679865481131,False,2,12,3
1679863466823,True,6,9,7
1679861898989,False,2,5,2
1679859573126,False,1,9,1
1679858440195,False,1,5,3
1679760625492,True,7,6,7
1679755936180,True,3,7,4
1679715786105,False,2,15,13
1679712849115,False,5,19,9
1679711543408,True,0,3,1
1679702648610,False,6,14,16
1679700126780,False,9,9,13
1679690018570,False,2,9,4
1679629594936,True,3,3,3
1679613565060,True,2,2,8
1679612120348,False,1,6,1
1679609579707,True,16,10,12
1679446903471,True,5,6,19
1679429236548,True,0,4,1
1679421126633,True,19,7,3
1679419936358,False,0,0,0
1679411835958,False,9,4,3
1679411421981,False,0,0,0
1678905581449,True,23,2,2
1678903394386,False,2,4,0
1678773311217,False,4,11,3
1678771202796,False,5,8,0
1678769044422,True,6,6,7
1678766812720,False,0,0,0
1678764461431,False,6,8,6
1678761277036,True,15,16,9
1678484176858,False,15,9,5
1678318761903,False,4,9,1
1678317551123,False,2,6,3
1678317032321,True,0,0,0
1678315368197,True,5,1,1
1678225816165,False,1,7,4
1678224416215,False,1,9,0
1678223061702,False,2,1,0
1678219800850,False,9,15,7
1678217732431,True,5,4,9
1677811501011,True,9,5,12
1667873184756,False,2,16,6
1667860914016,False,11,6,4
1667353798543,False,1,17,6
1667352554271,True,2,4,16
1667325547916,True,11,10,9
1667240102727,False,1,11,0
1667068778601,False,3,10,4
1667001120878,True,11,1,1
1666912518361,True,15,6,6
1666841797991,False,0,11,0
1666823458149,True,4,5,4
