championName,championPoints
Evelynn,28927
Viego,9459
Yone,9218
Volibear,7141
Jarvan IV,6461
Varus,6236
Xayah,5901
Pyke,5800
Akali,5743
Trundle,4793
Sivir,4735
Senna,3951
Mordekaiser,3869
Ashe,3818
Thresh,3580
Nilah,3407
Jax,3282
Zyra,3265
Warwick,3203
Graves,3058
Azir,2926
Talon,2908
Jhin,2762
Hecarim,2673
Irelia,2493
Xin Zhao,2457
Master Yi,2443
Riven,2356
Kayn,2306
Vex,2298
Shyvana,2217
Rengar,2018
Ahri,1792
Fiddlesticks,1766
Camille,1650
Caitlyn,1636
Amumu,1605
Yasuo,1574
Kindred,1475
Draven,1455
Lee Sin,1324
Kayle,1299
Poppy,1254
Twitch,1246
Katarina,1233
Nautilus,1224
Ornn,1201
Diana,1172
Nunu & Willump,1089
Rell,921
Lux,920
Nasus,825
Malphite,755
Annie,729
Brand,722
Sona,701
Tristana,693
Soraka,693
Darius,661
Zoe,646
Kalista,632
Sylas,625
Fizz,559
Briar,401
Vayne,369
Sejuani,249
Garen,229
Aatrox,221
Morgana,216
Galio,185
Jinx,160
Nocturne,156
Miss Fortune,140
Zeri,134
Tahm Kench,130
Ekko,124
Seraphine,122
Samira,119
Fiora,109
Aphelios,108
Quinn,108
Braum,104
Neeko,102
Renekton,96
Veigar,96
LeBlanc,95
Swain,90
Gwen,81
Kennen,78
